Dam Name,NID ID,Owner Names,Primary Owner Type,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),Congressional District,American Indian/Alaska Native/Native Hawaiian,State Regulated Dam,Federally Regulated Dam,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,Operational Status,Operational Status Date,EAP Prepared,EAP Last Revision Date,Inundation Maps Added to NID?,Website URL
Mirror Lake Dike,MA03272,Town of Norfolk,Local Government,,,Recreation,42.09141667,-71.319775,Massachusetts,Norfolk,Norfolk,,"Massachusetts, Congressional District 04",,Yes,No,,5,11,11,Less than 25 feet,350,,,Undetermined,,250,250,155,62,0.34,,None,,,8/28/2024,9/23/2021,5,Significant,Poor,5/24/2024,,,No,,No,https://damsafety.org/massachusetts
Balch Pond Dike,MA01186,Town of Ayer,Local Government,,,Flood Risk Reduction,42.554075,-71.573719,Massachusetts,Middlesex,Ayer,,"Massachusetts, Congressional District 03",,Yes,No,,2,3,3,Less than 25 feet,310,,,Undetermined,,60,60,47,5,3.6,,None,,,8/28/2024,9/25/2019,5,Significant,Poor,3/8/2024,,,Yes,3/1/2020,No,https://damsafety.org/massachusetts
Pigeon Roost Creek FRS 3,KY01216,JACKSON COUNTY FISCAL COURT/CITY OF MCKEE,Local Government,USDA NRCS,,Flood Risk Reduction,37.426944,-83.968056,Kentucky,Jackson,MCKEE,,"Kentucky, Congressional District 05",,Yes,No,53,,,53,51-100 feet,286,,2009,Since 2000,,201.9,201.9,40.4,3.1,0.68,,Uncontrolled,40,,8/12/2024,7/3/2024,1,High,Poor,7/3/2024,,,Not Required,,No,https://damsafety.org/kentucky
North Silver Lake Dam,MA00307,MA Department of Conservation & Recreation,State,USDA NRCS,,Flood Risk Reduction,42.09636394,-73.11805306,Massachusetts,Berkshire,Sandisfield,,"Massachusetts, Congressional District 01",,Yes,No,,67,76,76,51-100 feet,1550,,,Undetermined,,1786,1786,284,21.8,3.7,500,Uncontrolled,,,8/28/2024,3/25/2022,2,High,Fair,7/19/2023,,,Yes,4/1/2022,No,https://damsafety.org/massachusetts
Donaldson FRS No 1a,KY01046,DONALDSON CREEK WATERSHED C D,Local Government,SOIL CONSERVATION SERVICE;USDA NRCS,,Flood Risk Reduction,37.25,-87.93,Kentucky,Caldwell,NO TOWN,,"Kentucky, Congressional District 01",,Yes,No,37,,,37,25-50 feet,400,,1986,1980-1989,,3610,3610,251.8,71.8,10.05,,Uncontrolled,,,5/24/2021,3/27/2012,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/kentucky
Valley Creek MPS 4,KY00034,CITY OF ELIZABETHTOWN,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Water Supply,37.715,-85.87027778,Kentucky,Hardin,ELIZABETHTOWN,,"Kentucky, Congressional District 02",,Yes,No,44,,,44,25-50 feet,1640,,1966,1960-1969,,1830,,1830,160.2,5.1,,Uncontrolled,150,,1/10/2025,11/7/2024,1,High,Satisfactory,11/7/2024,,,Not Required,,No,https://damsafety.org/kentucky
West Fork Mayfield Creek FRS 47,KY00761,WEST FORK MAYFIELD CREEK WATER CONSERVANCY DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,36.8351,-88.82155,Kentucky,Carlisle,KIRBYTON-AREA,3,"Kentucky, Congressional District 01",,Yes,No,21,,,21,Less than 25 feet,920,,1975,1970-1979,,59.3,59.3,17.2,3.7,0.16,,Uncontrolled,,,5/24/2021,3/6/2018,5,Low,Poor,3/6/2018,,,Not Required,,No,https://damsafety.org/kentucky
West Fork Mayfield Creek FRS 35,KY00759,WEST FORK MAYFIELD CREEK WATER CONSERVANCY DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,36.854421,-88.953763,Kentucky,Carlisle,NO TOWN,,"Kentucky, Congressional District 01",,Yes,No,27,,,27,25-50 feet,900,,1975,1970-1979,,185.4,185.4,48,11.2,0.53,,Uncontrolled,,,5/24/2021,3/6/2018,5,Low,Satisfactory,3/6/2018,,,Not Required,,No,https://damsafety.org/kentucky
Plum Creek FRS No 17,KY00335,SPENCER COUNTY SOIL CONSERVATION DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,38.06888889,-85.41333333,Kentucky,Spencer,WATERFORD,3,"Kentucky, Congressional District 04",,Yes,No,37,,,37,25-50 feet,420,,1960,1960-1969,,216,216,30,3.2,0.55,,Uncontrolled,,,1/23/2024,12/6/2023,3,Significant,Fair,12/6/2023,,,Not Required,,No,https://damsafety.org/kentucky
Plum Creek FRS No 16,KY00334,SPENCER COUNTY SOIL CONSERVATION DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,38.08027778,-85.41805556,Kentucky,Spencer,WATERFORD,3,"Kentucky, Congressional District 04",,Yes,No,39,,,39,25-50 feet,500,,1960,1960-1969,,120,120,39,3.7,0.85,,Uncontrolled,,,5/24/2021,3/30/2005,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/kentucky
Plum Creek FRS No 3,KY00330,SHELBY COUNTY SCD,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,38.15111111,-85.36833333,Kentucky,Shelby,WATERFORD,11,"Kentucky, Congressional District 04",,Yes,No,31,,,31,25-50 feet,800,,1960,1960-1969,,255,255,44,6.9,0.84,,Uncontrolled,,,7/2/2024,6/6/2024,1,High,Poor,6/6/2024,,,Not Required,,No,https://damsafety.org/kentucky
Owens Creek FRS F2,KY00638,CITY OF PROVIDENCE,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,37.39111111,-87.78222222,Kentucky,Webster,BELLVILLE,3,"Kentucky, Congressional District 01",,Yes,No,34,,,34,25-50 feet,790,,1968,1960-1969,,90,90,32,3.1,0.31,,Uncontrolled,,,5/24/2021,6/22/2017,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/kentucky
Obion Creek Srs 46,KY00637,OBION CREEK WATERSHED DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Other,36.66722222,-88.66972222,Kentucky,Graves,HAPPY HOLLOW,1,"Kentucky, Congressional District 01",,Yes,No,27,,,27,25-50 feet,380,,1963,1960-1969,,34.6,34.6,14,2.3,0.13,,Uncontrolled,,,5/24/2021,2/9/2017,5,Low,Poor,2/9/2017,,,Not Required,,No,https://damsafety.org/kentucky
East Fork Pond River FRS 7b,KY00251,CHRISTIAN COUNTY SOIL CONSERVATION DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,37.06694444,-87.31472222,Kentucky,Christian,FIES,30,"Kentucky, Congressional District 01",,Yes,No,43,,,43,25-50 feet,640,,1964,1960-1969,,1272,1272,527,33.6,1.99,,Uncontrolled,,,5/24/2021,3/16/2017,5,Low,Poor,3/16/2017,,,Not Required,,No,https://damsafety.org/kentucky
West Fork Pond River FRS 14,KY00752,WEST FORK POND RIVER WATER CONSERVANCY DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,37.103771,-87.392871,Kentucky,Christian,MT.CARMEL-VICINITY,5,"Kentucky, Congressional District 01",,Yes,No,25,,,25,25-50 feet,260,,1975,1970-1979,,180,180,15,4.4,0.95,,Uncontrolled,,,5/24/2021,3/16/2017,5,Low,Satisfactory,3/16/2017,,,Not Required,,No,https://damsafety.org/kentucky
Salt Lick Creek Watershed FRS 4,KY00743,SALT LICK WATERSHED CONSERVATION DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,38.036705,-83.615226,Kentucky,Bath,SALT LICK,6,"Kentucky, Congressional District 05",,Yes,No,32,,,32,25-50 feet,550,,1977,1970-1979,,248.25,248.25,40,7.5,1.11,,Uncontrolled,,,5/24/2021,11/21/2014,5,Low,Fair,,,,Yes,,No,https://damsafety.org/kentucky
Mud River Mps 2a,KY00023,CITY OF RUSSELLVILLE,Local Government,HOWARD K. BELL;SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Water Supply,36.89627,-86.9499,Kentucky,Logan,NO TOWN,,"Kentucky, Congressional District 01",,Yes,No,68,,,68,51-100 feet,750,,1967,1960-1969,,7020,7020,2265,147,7.83,,Uncontrolled,40,,5/24/2021,3/7/2017,3,Significant,Fair,3/7/2017,,,Not Required,,No,https://damsafety.org/kentucky
Mud River FRS No 27,KY00326,LOGAN COUNTY SOIL CONSERVATION DISTRICT,Local Government,"HARZA ENGINEERING COMPANY, CHICAGO, ILL.;USDA/USDA NRCS",,Flood Risk Reduction,36.92437,-86.82243,Kentucky,Logan,HOMER-VICINITY,3,"Kentucky, Congressional District 01",,Yes,No,43,,,43,25-50 feet,370,,1961,1960-1969,,1627,1627,91,15,5.96,,Uncontrolled,20,,5/24/2021,1/10/2017,3,Significant,Poor,1/10/2017,,,Yes,8/18/2008,No,https://damsafety.org/kentucky
East Fork Pond River FRS No 1a,KY00248,TODD COUNTY SOIL CONSERVATION DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA NRCS,,Water Supply,36.93055556,-87.19111111,Kentucky,Todd,NO TOWN,,"Kentucky, Congressional District 01",,Yes,No,58,,,58,51-100 feet,550,,1964,1960-1969,,3517,3517,252,30,7.6,,Uncontrolled,,,5/24/2021,3/15/2017,3,Significant,Fair,3/15/2017,,,Not Required,,No,https://damsafety.org/kentucky
East Fork Pond River FRS 3,KY00237,TODD COUNTY SOIL CONSERVATION DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA NRCS,,Flood Risk Reduction,36.993522,-87.228685,Kentucky,Todd,KIRKMANSVILLE,1,"Kentucky, Congressional District 01",,Yes,No,32,,,32,25-50 feet,1300,,1968,1960-1969,,765,765,159,22.5,3.96,,Uncontrolled,,,5/24/2021,8/22/2013,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/kentucky
North Fork Nolin River MPS 3,KY00772,CITY OF HODGENVILLE,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Water Supply,37.58888889,-85.7106,Kentucky,Larue,HODGENVILLE,2,"Kentucky, Congressional District 02",,Yes,No,52,,,52,51-100 feet,1260,,1977,1970-1979,,3712,3712,1185,99.3,4.13,,Uncontrolled,200,,12/2/2024,10/24/2024,1,High,Satisfactory,10/24/2024,,,Not Required,,No,https://damsafety.org/kentucky
Red Lick Creek FRS 12,KY00766,RED LICK CREEK WATERSHED CONSERVANCY DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,37.58002,-84.21091,Kentucky,Madison,DULUTH,3,"Kentucky, Congressional District 06",,Yes,No,36,,,36,25-50 feet,600,,1975,1970-1979,,398.3,398.3,48.3,10.2,1.26,,Uncontrolled,64,,3/19/2025,2/13/2025,1,High,Poor,2/13/2025,,,Not Required,,No,https://damsafety.org/kentucky
West Fork Mayfield Creek FRS No 4,KY01087,WEST FORK MAYFIELD CREEK WATER CONSERVANCY DISTRICT,Local Government,"SOIL CONSERVATION SERVICE LEXINGTON, KENTUCKY;USDA/USDA NRCS",,Flood Risk Reduction,36.764863,-88.719059,Kentucky,Graves,NO TOWN,,"Kentucky, Congressional District 01",,Yes,No,23,,,23,Less than 25 feet,550,,1991,1990-1999,,129,129,86,19.1,0.44,,Uncontrolled,,,5/24/2021,1/25/2012,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/kentucky
Valley Creek FRS 3,KY00284,CITY OF ELIZABETHTOWN,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,37.708674,-85.827599,Kentucky,Hardin,ELIZABETHTOWN,1,"Kentucky, Congressional District 02",,Yes,No,46,,,46,25-50 feet,1400,,1972,1970-1979,,2070,2070,52,12.9,1.84,,Uncontrolled,40,,1/8/2025,11/7/2024,1,High,Fair,11/7/2024,,,Not Required,,No,https://damsafety.org/kentucky
Caney Creek FRS 12,KY00281,CANEY CREEK WATERSHED CONSERVANCY DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA NRCS,,Flood Risk Reduction,37.44722,-86.61766,Kentucky,Grayson,WHITE RUN,3,"Kentucky, Congressional District 02",,Yes,No,27,,,27,25-50 feet,1080,,1971,1970-1979,,2288,2288,275,72,5.79,,Uncontrolled,100,,5/24/2021,4/30/2018,3,Significant,Fair,4/30/2018,,,Not Required,,No,https://damsafety.org/kentucky
Fox Creek FRS 3,KY00354,FOX CREEK WATERSHED CONSERVANCY DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,38.341963,-83.552173,Kentucky,Fleming,PLUMMERS LANDING,2,"Kentucky, Congressional District 06",,Yes,No,31,,,31,25-50 feet,870,,1973,1970-1979,,1696,1696,209,46.2,5.8,,Uncontrolled,50,,4/21/2025,2/26/2025,1,High,Poor,2/26/2025,,,Not Required,,No,https://damsafety.org/kentucky
Mud River FRS 12,KY00347,TODD COUNTY SOIL CONSERVATION DISTRICT,Local Government,"L.E.GREGG AND ASSOCIATES / LEXINGTON,KY.;USDA/USDA NRCS",,Flood Risk Reduction,36.98055556,-87.07583333,Kentucky,Todd,JERICO,8,"Kentucky, Congressional District 01",,Yes,No,25,,,25,25-50 feet,410,,1961,1960-1969,,150,150,16,5,1.22,,Uncontrolled,,,5/24/2021,3/8/2017,5,Low,Fair,3/8/2017,,,Not Required,,No,https://damsafety.org/kentucky
Mud River FRS No 7,KY00346,LOGAN COUNTY SOIL CONSERVATION DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,36.967498,-87.040558,Kentucky,Logan,JERICO,6,"Kentucky, Congressional District 01",,Yes,No,23,,,23,Less than 25 feet,500,,1963,1960-1969,,126,126,46,13,0.98,,Uncontrolled,,,5/24/2021,3/8/2017,5,Low,Satisfactory,3/8/2017,,,Not Required,,No,https://damsafety.org/kentucky
West Fork Mayfield Creek FRS 16,KY00828,WEST FORK MAYFIELD CREEK WATER CONSERVANCY DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,36.80805556,-88.83722222,Kentucky,Carlisle,NO TOWN,,"Kentucky, Congressional District 01",,Yes,No,28,,,28,25-50 feet,826,,1978,1970-1979,,273,273,40,11.3,0.55,,Uncontrolled,30,,2/3/2025,12/12/2024,1,High,Poor,12/12/2024,,,Not Required,,No,https://damsafety.org/kentucky
Mud River FRS 44,KY00823,MUD RIVER WATERSHED CONSERVANCY,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,37.066887,-86.876377,Kentucky,Butler,NO TOWN,,"Kentucky, Congressional District 02",,Yes,No,18,,,18,Less than 25 feet,680,,1979,1970-1979,,197,197,26,10.2,0.69,,Uncontrolled,,,5/24/2021,5/2/2017,5,Low,Fair,5/2/2017,,,Not Required,,No,https://damsafety.org/kentucky
Upper Green River FRS No 5,KY00341,LINCOLN COUNTY SOIL CONSERVATION DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,37.40887,-84.678266,Kentucky,Lincoln,SOUTH FORK,5,"Kentucky, Congressional District 05",,Yes,No,38,,,38,25-50 feet,550,,1959,1950-1959,,309.3,309.3,22.5,5.4,1.56,,Uncontrolled,,,11/7/2024,9/19/2024,5,Low,Satisfactory,9/19/2024,,,Not Required,,No,https://damsafety.org/kentucky
West Fork Mayfield Creek FRS 23,KY00818,WEST FORK MAYFIELD CREEK WATER CONSERVANCY DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,36.82021,-88.91599,Kentucky,Carlisle,HICKMAN,47,"Kentucky, Congressional District 01",,Yes,No,25,,,25,25-50 feet,770,,1978,1970-1979,,234.5,234.5,46,10.9,0.63,,Uncontrolled,,,5/24/2021,3/6/2018,5,Low,Poor,3/6/2018,,,Not Required,,No,https://damsafety.org/kentucky
West Fork Mayfield Creek FRS 15,KY00817,WEST FORK MAYFIELD CREEK WATER CONSERVANCY DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,36.81566,-88.82989,Kentucky,Carlisle,KIRBYTON,4,"Kentucky, Congressional District 01",,Yes,No,22,,,22,Less than 25 feet,564,,1978,1970-1979,,154,154,28,7.7,0.4,,Uncontrolled,,,5/24/2021,2/9/2017,5,Low,Satisfactory,2/9/2017,,,Not Required,,No,https://damsafety.org/kentucky
Fox Creek FRS 2,KY01060,FOX CREEK WATERSHED CONSERVANCY DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,38.372273,-83.539762,Kentucky,Fleming,NO TOWN,,"Kentucky, Congressional District 06",,Yes,No,47,,,47,25-50 feet,770,,1988,1980-1989,,3540,3540,455,63.8,6.57,,Uncontrolled,160,,3/19/2025,2/26/2025,1,High,Poor,2/26/2025,,,Not Required,,No,https://damsafety.org/kentucky
West Fork Mayfield Creek FRS 45,KY00792,WEST FORK MAYFIELD CREEK WATER CONSERVANCY DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,36.81325,-88.77234,Kentucky,Graves,KIRBYTON,7,"Kentucky, Congressional District 01",,Yes,No,25,,,25,25-50 feet,915,,1977,1970-1979,,186.9,186.9,45.3,8.5,0.48,,Uncontrolled,30,,5/24/2021,1/23/2018,5,Low,Fair,1/23/2018,,,Not Required,,No,https://damsafety.org/kentucky
Humphrey Clanton Creek FRS No 5,KY00267,BALLARD COUNTY SOIL CONSERVATION DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,37.049008,-88.961955,Kentucky,Ballard,LA CENTER,2,"Kentucky, Congressional District 01",,Yes,No,21,,,21,Less than 25 feet,1000,,1971,1970-1979,,450,450,52,17,1.6,,Uncontrolled,,,5/24/2021,1/11/2012,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/kentucky
Little Ky River FRS 4,KY00063,HENRY COUNTY CONSERVATION DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,38.43566,-85.233605,Kentucky,Henry,SULPHUR,10,"Kentucky, Congressional District 04",,Yes,No,42,,,42,25-50 feet,500,,1963,1960-1969,,610,610,53,12,2.4,,Uncontrolled,,,5/24/2021,8/13/2015,5,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/kentucky
Upper Tradewater FRS No 11,KY00290,CHRISTIAN COUNTY SOIL CONSERVATION DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,37.040474,-87.605996,Kentucky,Christian,POD,4,"Kentucky, Congressional District 01",,Yes,No,32,,,32,25-50 feet,770,,1969,1960-1969,,600,600,70,16.8,2.83,,Uncontrolled,,,5/24/2021,3/15/2017,5,Low,Fair,3/15/2017,,,Not Required,,No,https://damsafety.org/kentucky
West Fork Mayfield Creek FRS No 52,KY00361,WEST FORK MAYFIELD CREEK WATER CONSERVANCY DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,36.85658,-88.91165,Kentucky,Carlisle,NO TOWN,,"Kentucky, Congressional District 01",,Yes,No,19,,,19,Less than 25 feet,500,,1972,1970-1979,,69,69,16,4.8,0.22,,Uncontrolled,,,5/24/2021,5/7/2018,5,Low,Poor,5/7/2018,,,Not Required,,No,https://damsafety.org/kentucky
West Fork Mayfield Creek FRS 51,KY00360,WEST FORK MAYFIELD CREEK WATER CONSERVANCY DISTRICT,Local Government,SOIL CONSERVATION SERVICE;USDA/USDA NRCS,,Flood Risk Reduction,36.849974,-88.89703,Kentucky,Carlisle,NO TOWN,,"Kentucky, Congressional District 01",,Yes,No,22,,,22,Less than 25 feet,375,,1973,1970-1979,,74,74,18,4.1,0.18,,Uncontrolled,30,,5/24/2021,5/7/2018,5,Low,Fair,5/7/2018,,,Not Required,,No,https://damsafety.org/kentucky
Clarified Water Pond,IL83454,FREEMAN UNITED COAL MINING CO,Private,,,Water Supply,39.424674,-89.704657,Illinois,Macoupin,FARMERSVILLE,,"Illinois, Congressional District 13",,Yes,Yes,15,,,15,Less than 25 feet,,,,Undetermined,,650,650,,,,,,,,12/1/2023,,,Significant,Not Available,,,,No,,No,https://www.msha.gov/training-education/safety-and-health-materials/safety-topic-impoundments-and-dams
Clarified Pond Impound. Structure,IL83452,Springfield Coal Company,Private,,,Water Supply,39.476389,-89.733056,Illinois,Macoupin,Virden,1,"Illinois, Congressional District 13",,Yes,Yes,11,,,11,Less than 25 feet,6015,,,Undetermined,,130,130,,,,,,,,5/3/2021,8/25/2017,,Low,Not Available,,,,No,,No,https://www.msha.gov/training-education/safety-and-health-materials/safety-topic-impoundments-and-dams
Soap Creek Watershed Site 26-53,IA04128,Soap Creek Watershed Board,Local Government,USDA NRCS,,Flood Risk Reduction,40.8784,-92.5532,Iowa,Davis,Selma,27,"Iowa, Congressional District 03",,Yes,No,31,,,31,25-50 feet,415,14402,2011,Since 2000,,37,37,9,2,0.16,100,,12,,6/13/2024,,,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/iowa
Soap Creek Watershed Site 4-86,IA04121,Soap Creek Watershed Board,Local Government,USDA NRCS,,Flood Risk Reduction,40.8938,-92.7016,Iowa,Appanoose,Selma,33,"Iowa, Congressional District 03",,Yes,No,30,,,30,25-50 feet,900,42979,2010,Since 2000,,115,115,25,6,0.41,39,,,,5/24/2021,,,Low,Not Rated,,,,Not Required,,No,https://damsafety.org/iowa
Arkansas Pond,CO02960,Climax Molybdenum Co.,Private,,,Other,39.3625,-106.185,Colorado,Lake,"Leadville, Co",12,"Colorado, Congressional District 07",,Yes,Yes,5,,,5,Less than 25 feet,361,,,Undetermined,,100,100,,,,,,,,5/3/2021,,,Significant,Not Available,,,,No,,No,https://www.msha.gov/training-education/safety-and-health-materials/safety-topic-impoundments-and-dams
Pathfinder Dike,WY01295,BUREAU OF RECLAMATION,Federal,BUREAU OF RECLAMATION,No,Fish and Wildlife Pond,42.4648,-106.8526,Wyoming,Natrona,CASPER,0,"Wyoming, Congressional District 00",,Yes,Yes,24,20,38,38,25-50 feet,1650,152000,1909,1900-1909,,1016500,1016500,1016500,,,50310,Uncontrolled,583,Uncontrolled,11/21/2024,6/10/2021,4,High,Not Available,,,,Yes,4/3/2020,No,https://www.usbr.gov/ssle/damsafety/
Enders Dike,NE01070,BUREAU OF RECLAMATION,Federal,,No,Flood Risk Reduction,40.435,-101.521,Nebraska,Chase,WAUNETA,10,"Nebraska, Congressional District 03",,Yes,Yes,28,18,26,28,25-50 feet,6420,150000,1951,1950-1959,,79161,79161,44480,2557,1097,,None,0,,11/21/2024,7/8/2021,4,High,Not Available,,,,Yes,6/28/2020,No,https://www.usbr.gov/ssle/damsafety/
Horsetooth-Satanka Dike,CO01659,BUREAU OF RECLAMATION,Federal,,No,Irrigation,40.6001,-105.1757,Colorado,Larimer,FORT COLLINS,2,"Colorado, Congressional District 02",,Yes,Yes,33,12,33,33,25-50 feet,348,38892,1949,1940-1949,,170370,170370,156735,1900,17,,None,0,,11/21/2024,9/15/2020,4,High,Not Available,,,,Yes,1/24/2020,No,https://www.usbr.gov/ssle/damsafety/
Mt. Elbert Forebay Saddle Dike,CO00446,BUREAU OF RECLAMATION,Federal,,No,Hydroelectric,39.1032,-106.3659,Colorado,Lake,NONE,0,"Colorado, Congressional District 07",,Yes,Yes,22,17,22,22,Less than 25 feet,820,,1977,1970-1979,,11420,11420,11143,384,,,None,0,,11/21/2024,7/12/2022,4,High,Not Available,,,,Yes,2/1/2022,No,https://www.usbr.gov/ssle/damsafety/
Mcphee Great Cut Dike,CO02707,BUREAU OF RECLAMATION,Federal,,No,Fish and Wildlife Pond,37.511,-108.5876,Colorado,Montezuma,"ANETH, UT",50,"Colorado, Congressional District 03",,Yes,Yes,64,64,75,75,51-100 feet,2006,189000,1984,1980-1989,,399200,399200,381000,4918,,,None,0,,11/21/2024,9/23/2020,4,High,Not Available,,,,Yes,12/9/2020,No,https://www.usbr.gov/ssle/damsafety/
Platoro Dike,CO01671,BUREAU OF RECLAMATION,Federal,BUREAU OF RECLAMATION,No,Flood Risk Reduction,37.3517,-106.5486,Colorado,Conejos,PLATORO,1,"Colorado, Congressional District 03",,Yes,Yes,85,85,85,85,51-100 feet,590,,1951,1950-1959,,67790,67790,53506,1000,40,,None,0,,11/21/2024,9/15/2021,4,High,Not Available,,,,Yes,8/10/2022,No,https://www.usbr.gov/ssle/damsafety/
Robert S. Kerr                                                   ,OK00134,Grand River Dam Authority,State,,No,Hydroelectric,36.2342,-95.1824,Oklahoma,Mayes,Pryor                                             ,14,"Oklahoma, Congressional District 02",Cherokee OTSA,Yes,Yes,87,80,87,87,51-100 feet,3900,,1964,1960-1969,,565674,565674,215000,11000,11437,736000,Controlled,824,Tainter (radial)17,5/7/2025,8/20/2024,1,High,Fair,11/6/2024,"Under Investigation, Planning, Permitting, or Design for Remediation",11/6/2024,Yes,2/6/2023,No,https://www.ferc.gov/dam-safety-and-inspections
Jorgenson Pond; Hazel,ND01167,Hazel Jorgenson,Private,Highlands Engineering,,Water Supply,47.653559,-103.041418,North Dakota,Dunn,,,"North Dakota, Congressional District 00",,Yes,No,15,,,15,Less than 25 feet,,,,Undetermined,,52.28,52.28,,,,,,,,2/16/2023,,,Undetermined,Not Rated,,,,Not Required,,No,https://damsafety.org/north-dakota
West Pond,ND01165,Metro Flood Diversion Authority,Local Government,"Andrew Aakre, PE-6522",,Other,46.670128,-96.823097,North Dakota,Cass,,,"North Dakota, Congressional District 00",,Yes,No,12,,,12,Less than 25 feet,,,,Undetermined,,387.8,387.8,,,,,,,,2/16/2023,,,Undetermined,Not Rated,,,,Not Required,,No,https://damsafety.org/north-dakota
Freeman Lake Dam,NC05502,Juanita W Freeman,Private,,,"Fire Protection, Stock, Or Small Fish Pond",35.8649,-80.0858,North Carolina,Davidson,,,"North Carolina, Congressional District 08",,Yes,No,,10,12,12,Less than 25 feet,215,,,Undetermined,,4.8,4.8,4.1,1,,,None,,,1/27/2025,2/14/2023,,High,Unsatisfactory,2/14/2023,,,No,,No,https://damsafety.org/north-carolina
Hidden Valley Campground Dam,NC03063,Gordon R Jerome,Private,,,Recreation,35.2932,-82.5757,North Carolina,Henderson,Etowah,2,"North Carolina, Congressional District 11",,Yes,No,,14,18,18,Less than 25 feet,250,,,Undetermined,,15,15,7,2,0.17,,Controlled,,,1/27/2025,1/9/2023,,High,Satisfactory,1/9/2023,,,No,,No,https://damsafety.org/north-carolina
Conifer Pond Dam (Aka Riddle Dam),NC01916,Michael and Cindy J Homan,Private,,,Recreation,35.6158,-82.7386,North Carolina,Buncombe,Newfound,1.5,"North Carolina, Congressional District 11",,Yes,No,,25,27,27,25-50 feet,305,,,Undetermined,,11,11,9,1,,,,,,1/27/2025,6/12/2007,,Significant,,6/12/2007,,,No,,No,https://damsafety.org/north-carolina
